consumption,sun,rainfall,wind
1932757.632,0,0,5
1895901.149,0,0,5.95
1816654.638,0,0,6.5
1864820.166,0,0,5.6
2019742.012,0,0,5.2
2249128.344,0,0,5.05
2435744.807,0,0,4.5
2450496.137,5,0,5.75
2478991.534,30,0,5.55
2434660.674,32,0,5.75
2431018.511,30,0,5.95
2410270.488,6,0,5.95
2389010.799,0,0,6.45
2357356.878,0,0,5.75
2363950.407,0,0,6.85
2370146.795,0,0,6.3
2450346.538,0,0,5.55
2377298.627,0,0,5.05
2264668.074,0,0,6.5
2163490.373,0,0,6.3
2113054.551,0,0,6.3
2061093.702,0,0,6.3
1982011.505,0,0,6.8
1943720.92,0,0,6.1
1912176.03,0,0,6.3
1894251.347,0,0,6.3
1825310.167,0,0,6.85
1873005.26,0,0,7.75
2018250.288,0,0,7.35
2239411.068,0,0,6.1
2429684.748,14,0,6.65
2446909.529,35,0,5.75
2480520.037,60,0,4.85
2421569.386,60,0,5.95
2406842.617,60,0,3.45
2393835.292,36.5,0,5.05
2378773.737,30,0,5.6
2343857.701,20.5,0,6.3
2344207.018,3,0,5.9
2347767.397,0,0,7.4
2427765.471,0,0,7.55
2381021.741,0,0,6.85
2260539.009,0,0,5.4
2159966.705,0,0,4.3
2089974.041,0,0,5.4
2049297.607,0,0,5.05
1977854.704,0,0,5.05
1944846.366,0,0,5.4
1895619.623,0,0,6.1
1877313.492,0,0,5.6
1811047.975,0,0,5.2
1858858.474,0,0,7
2011819.025,0,0,7.55
2227300.907,0,0,6.5
2410123.686,15.5,0,6.3
2444787.642,35,0,6.3
2474374.803,57,0,6.3
2420302.377,60,0,7.9
2397949.091,60,0,9.2
2379246.242,37,0,10.1
2358631.927,30,0,9.9
2299923.138,23.5,0,6.85
2259120.634,5,0,5.55
2279776.418,0,0,5.05
2370032.196,0,0,6.3
2323981.422,0,0,7.55
2225860.942,0,0,4.85
2096855.154,0,0,3.4
2061526.76,0,0,5.05
2043235.952,0,0,5.9
1983152.873,0,0,7.9
1943859.942,0,0,5.2
1898507.833,0,0,6.7
1851910.057,0,0,6.5
1774759.459,0,0,7
1765572.358,0,0,7
1754737.111,0,0,6.65
1771303.782,0,0,7.05
1893495.507,11.5,0,7.75
2000965.041,28.5,0,5.4
2048257.906,57,0,5.55
2006243.519,60,0,8.45
2021627.06,60,0,8.65
2033897.179,37.5,0,11.85
1981101.127,30,0,9.9
1962012.369,28,0,9
1954920.135,4.5,0,5.95
2018667.702,0,0,6.5
2148406.066,0,0,6.15
2109690.041,0,0,5.95
2033500.124,0,0,7.2
1931803.523,0,0,5.2
1915031.877,0,0,5.95
1908308.497,0,0,4.85
1858649.611,0,0,6.1
1814618.218,0,0,5.4
1782064.965,0,0,4.15
1745511.06,0,0,5.6
1686835.316,0,0,5.2
1675817.144,0,0,4.5
1653465.158,0,0,5.4
1634170.254,0,0,4.85
1685894.785,19,0,4.7
1783366.023,35,0,6.5
1840608.55,60,0,10.25
1836310.135,60,0,9.2
1877726.799,60,0,9.55
1863567.125,27.5,0,9.4
1816760.901,20,0,10.45
1793256.718,0,0,13.9
1812927.232,0,0,13
1913393.119,0,0,11.15
2077672.663,0,0,10.8
2081584.695,0,0,7.7
2004663.164,0,0,5.25
1922149.361,0,0,6.1
1891889.788,0,0,8.3
1849795.184,0,0,8.45
1802517.921,0,0,8.3
1794508.95,0,0,7
1776246.287,0,0,5.9
1764489.063,0,0,6.65
1730731.689,0,0,7.2
1798510.081,0,0,7.05
1971849.267,0,0,7.2
2197731.471,0,0,6.5
2401240.582,0,0,7.95
2422197.891,21.5,0,7.35
2451552.146,60,0,5.75
2399293.369,54,0,5
2368344.363,60,0,6.45
2348467.805,36.5,0,7.4
2337450.513,13,0,7.75
2295024.73,15.5,0,5.75
2279477.107,7,0,5.4
2290080.217,0,0,5.9
2406267.954,0,0,6.3
2347071.169,0,0,6.8
2238722.172,0,0,6.3
2137900.538,0,0,7.55
2078415.518,0,0,8.1
2017223.979,0,0,7
1955821.579,0,0,7
1936681.902,0,0,6.1
1918791.225,0,0,6.1
1889059.281,0,0,5.05
1813557.237,0,0,5.05
1867654.478,0,0,4.5
2027444.605,0,0,4.3
2234309.649,0,0,5.4
2433528.56,16.5,0,4.15
2451551.929,33,0,5.4
